neck_angle,torso_angle,shoulders_offset,relative_neck_angle,good_posture
12,-5,33.54101966249684,17,True
18,-5,16.15549442140351,23,False
15,-4,23.769728648009426,19,True
15,-5,21.840329667841555,20,True
14,-3,12.529964086141668,17,True
12,-2,11.40175425099138,14,True
24,-2,9.219544457292887,26,False
27,-2,10.63014581273465,29,False
29,-3,14.7648230602334,32,False
28,-3,13.038404810405298,31,False
27,-3,11.40175425099138,30,False
27,-3,11.313708498984761,30,False
29,-2,7.615773105863909,31,False
32,-2,6.082762530298219,34,False
32,-1,5.830951894845301,33,False
27,-2,36.124783736376884,29,False
25,-2,41.048751503547585,27,False
23,-4,45.0111097397076,27,False
6,-1,49.16299421312742,7,True
1,-2,50.08991914547278,3,True
1,-2,47.095647357266465,3,True
32,-1,12.041594578792296,33,False
27,-1,30.4138126514911,28,False
14,-2,25.0,16,True
17,-5,13.0,22,False
