neck_angle,torso_angle,shoulders_offset,relative_neck_angle,good_posture
16,4,27.80287754891569,12,True
19,2,22.67156809750927,17,True
20,0,22.02271554554524,20,True
19,0,17.204650534085253,19,True
16,-1,26.076809620810597,17,True
21,-3,18.027756377319946,24,False
56,-1,20.518284528683193,57,False
60,0,21.400934559032695,60,False
60,0,23.323807579381203,60,False
55,-1,16.1245154965971,56,False
47,-4,15.132745950421556,51,False
42,-2,14.560219778561036,44,False
35,-3,6.324555320336759,38,False
29,-2,23.40939982143925,31,False
20,0,45.89117562233506,20,True
45,-5,29.546573405388315,50,False
49,-6,37.589892258425,55,False
48,-6,34.92849839314596,54,False
35,-9,4.123105625617661,44,False
29,-10,5.830951894845301,39,False
28,-9,3.0,37,False
27,-10,11.704699910719626,37,False
25,-11,14.0,36,False
31,-12,30.805843601498726,43,False
49,-9,21.095023109728988,58,False
51,-8,31.89043743820395,59,False
52,-8,32.64965543462902,60,False
21,-12,20.0,33,False
23,-14,14.0,37,False
20,-14,7.810249675906654,34,False
51,-11,13.601470508735444,62,False
63,-12,36.345563690772494,75,False
65,-12,45.5411901469428,77,False
56,-12,75.8946638440411,68,False
51,-10,68.87670143089025,61,False
49,-8,55.0,57,False
50,-5,50.08991914547278,55,False
46,-6,61.39218191268331,52,False
43,-7,61.68468205316454,50,False
52,-7,26.476404589747453,59,False
59,-8,49.36598018878993,67,False
66,-7,64.28841264178172,73,False
59,-6,18.681541692269406,65,False
58,-6,9.219544457292887,64,False
56,-5,2.0,61,False
41,-5,3.1622776601683795,46,False
39,-5,6.082762530298219,44,False
40,-4,13.601470508735444,44,False
58,-2,38.01315561749642,60,False
64,-1,28.442925306655784,65,False
66,-1,34.132096331752024,67,False
17,-4,29.068883707497267,21,False
9,-4,41.30375285612676,13,True
9,-8,40.792156108742276,17,True
4,-5,66.48308055437865,9,True
8,-6,64.28841264178172,14,True
6,-7,72.78049189171504,13,True
15,-10,57.28001396647874,25,False
17,-5,54.08326913195984,22,False
20,-7,47.43416490252569,27,False
9,-8,49.24428900898052,17,True
11,-10,39.01281840626232,21,False
13,-11,40.607881008493905,24,False
21,-10,17.204650534085253,31,False
24,-8,14.7648230602334,32,False
24,-6,16.401219466856727,30,False
25,-5,13.152946437965905,30,False
26,-6,15.652475842498529,32,False
24,-6,16.0,30,False
18,-12,16.401219466856727,30,False
24,-12,4.47213595499958,36,False
20,-12,19.924858845171276,32,False
18,-13,19.1049731745428,31,False
22,-16,13.416407864998739,38,False
22,-16,12.36931687685298,38,False
0,-9,71.02112361825881,9,True
0,-11,82.21921916437786,11,True
3,-10,83.15046602394962,13,True
8,-15,29.120439557122072,23,False
16,-18,11.045361017187261,34,False
14,-19,10.63014581273465,33,False
8,-14,40.024992192379,22,False
12,-16,34.20526275297414,28,False
13,-16,30.083217912982647,29,False
25,-13,28.071337695236398,38,False
29,-11,33.13608305156178,40,False
28,-10,33.37663853655727,38,False
34,-5,27.073972741361768,39,False
39,-6,13.038404810405298,45,False
35,-6,17.0,41,False
24,-11,31.016124838541646,35,False
18,-14,33.13608305156178,32,False
17,-15,28.442925306655784,32,False
17,-16,37.12142238654117,33,False
13,-17,39.20459156782532,30,False
13,-17,39.20459156782532,30,False
56,-15,30.463092423455635,71,False
54,-17,47.16990566028302,71,False
59,-20,44.01136216933077,79,False
31,-16,38.27531841800928,47,False
24,-14,37.33630940518894,38,False
22,-14,35.17101079013795,36,False
36,-14,31.78049716414141,50,False
37,-13,34.40930106817051,50,False
29,-13,56.79788728465171,42,False
19,-17,25.709920264364882,36,False
20,-16,32.64965543462902,36,False
16,-16,30.0,32,False
21,-16,35.84689665786984,37,False
16,-15,25.495097567963924,31,False
16,-15,22.627416997969522,31,False
14,-15,37.33630940518894,29,False
13,-16,49.33558553417604,29,False
18,-14,36.49657518178932,32,False
29,-15,8.06225774829855,44,False
31,-16,4.47213595499958,47,False
35,-15,5.830951894845301,50,False
60,-18,28.071337695236398,78,False
58,-14,6.708203932499369,72,False
55,-14,12.36931687685298,69,False
58,-12,13.92838827718412,70,False
59,-8,9.219544457292887,67,False
58,-9,5.0990195135927845,67,False
33,-2,43.68065933568311,35,False
14,2,61.07372593840988,12,True
25,0,59.30430001273095,25,False
44,-3,9.055385138137417,47,False
31,-1,33.37663853655727,32,False
32,0,27.018512172212592,32,False
50,2,15.556349186104045,48,False
51,5,18.35755975068582,46,False
47,7,7.615773105863909,40,False
33,16,48.25971404805462,17,True
39,15,34.0,24,False
42,16,26.248809496813376,26,False
19,17,70.06425622241343,2,True
10,18,82.00609733428362,8,True
8,18,82.00609733428362,10,True
12,13,77.1621668954417,1,True
16,8,73.17103251970687,8,True
20,6,67.1863081289633,14,True
25,-1,62.80127387243033,26,False
15,-1,74.0,16,True
17,0,63.071388124885914,17,True
33,5,52.839379254491625,28,False
40,7,44.04543109109048,33,False
40,10,49.4064773081425,30,False
48,13,30.610455730027933,35,False
49,14,27.459060435491963,35,False
39,15,20.024984394500787,24,False
48,7,1.0,41,False
45,6,4.123105625617661,39,False
42,7,16.0,35,False
12,5,59.00847396772772,7,True
12,-1,60.07495318350236,13,True
15,-4,62.07253821135398,19,True
37,-5,13.0,42,False
36,-2,19.4164878389476,38,False
35,-2,16.278820596099706,37,False
27,-1,42.44997055358225,28,False
23,0,55.31726674375732,23,False
24,0,58.137767414994535,24,False
36,-2,21.470910553583888,38,False
32,-3,34.17601498127012,35,False
31,0,25.942243542145693,31,False
28,-1,37.94733192202055,29,False
27,-1,41.48493702538308,28,False
27,-1,42.44997055358225,28,False
37,-1,14.7648230602334,38,False
40,0,4.47213595499958,40,False
39,0,5.0,39,False
27,0,47.80167361086848,27,False
26,2,49.47726750741192,24,False
23,4,61.39218191268331,19,True
20,3,58.69412236331676,17,True
20,3,60.41522986797286,17,True
23,2,48.507731342539614,21,False
24,3,46.57252408878007,21,False
25,2,47.07440918375928,23,False
26,4,46.32493928760188,22,False
0,9,99.72462083156798,9,True
4,7,85.98837130682264,3,True
11,9,78.85429601486528,2,True
11,9,77.83315488916018,2,True
14,7,71.47027354082255,7,True
13,7,73.7360156233031,6,True
28,5,45.31004303683677,23,False
37,5,30.083217912982647,32,False
36,3,28.160255680657446,33,False
35,3,34.48187929913333,32,False
34,3,36.68787265568828,31,False
33,4,37.36308338453881,29,False
32,3,43.41658669218482,29,False
31,3,46.32493928760188,28,False
31,3,46.09772228646444,28,False
31,2,46.32493928760188,29,False
31,4,44.384682042344295,27,False
37,3,32.2490309931942,34,False
48,2,4.47213595499958,46,False
50,4,2.8284271247461903,46,False
47,6,13.038404810405298,41,False
48,15,31.016124838541646,33,False
53,12,17.88854381999832,41,False
57,11,4.123105625617661,46,False
32,18,40.26164427839479,14,True
26,19,48.84669896727925,7,True
21,21,59.481089431852205,0,True
33,17,35.77708763999664,16,True
37,12,45.18849411078001,25,False
40,9,33.61547262794322,31,False
39,12,41.23105625617661,27,False
40,12,41.78516483155236,28,False
40,12,38.07886552931954,28,False
39,9,16.1245154965971,30,False
40,12,11.180339887498949,28,False
38,12,11.180339887498949,26,False
42,8,40.496913462633174,34,False
43,5,39.81205847478876,38,False
43,4,45.18849411078001,39,False
32,9,33.83784863137726,23,False
31,10,37.64306044943742,21,False
33,13,36.24913792078372,20,True
27,13,39.05124837953327,14,True
26,13,41.97618372363071,13,True
26,11,41.48493702538308,15,True
48,5,35.0,43,False
51,2,31.78049716414141,49,False
53,0,24.413111231467404,53,False
63,1,34.20526275297414,62,False
65,1,48.877397639399746,64,False
67,3,49.64876634922564,64,False
63,6,25.238858928247925,57,False
62,7,31.622776601683793,55,False
64,10,35.35533905932738,54,False
23,8,66.18912297349165,15,True
28,2,55.226805085936306,26,False
29,1,50.21951811795888,28,False
31,0,50.635955604688654,31,False
32,0,46.2709412050371,32,False
34,-1,41.19465984809196,35,False
54,1,21.633307652783937,53,False
61,0,17.88854381999832,61,False
63,2,24.698178070456937,61,False
63,8,45.880278987817846,55,False
60,11,57.0087712549569,49,False
57,14,56.753854494650845,43,False
59,15,30.870698080866262,44,False
54,17,42.2965719651132,37,False
53,20,44.40720662234904,33,False
63,21,37.656340767525464,42,False
62,23,37.48332962798263,39,False
67,22,28.653097563788805,45,False
75,22,23.323807579381203,53,False
76,26,23.40939982143925,50,False
79,26,26.92582403567252,53,False
81,29,31.064449134018133,52,False
81,29,31.304951684997057,52,False
82,29,29.966648127543394,53,False
82,32,26.570660511172846,50,False
82,31,29.732137494637012,51,False
82,31,30.675723300355934,51,False
82,31,29.966648127543394,51,False
86,33,34.713109915419565,53,False
85,32,34.713109915419565,53,False
34,22,31.016124838541646,12,True
33,17,28.160255680657446,16,True
34,16,30.364452901377952,18,True
45,13,35.4400902933387,32,False
45,12,35.34119409414458,33,False
46,12,34.539832078341085,34,False
39,11,52.009614495783374,28,False
41,10,51.22499389946279,31,False
42,9,49.8196748283246,33,False
37,12,64.62197768561404,25,False
37,15,63.06346010171025,22,False
36,16,61.98386886924694,20,True
57,7,21.02379604162864,50,False
59,7,13.45362404707371,52,False
60,7,13.92838827718412,53,False
58,10,23.021728866442675,48,False
57,10,25.553864678361276,47,False
56,11,29.068883707497267,45,False
50,11,33.24154027718932,39,False
